Panel,N,Diff_RE1,Diff_RE1_std,Emp_RE1,Ratio1,Ratio1_std,Metric,Diff_RE2,Diff_RE2_std,Emp_RE2,Ratio2,Ratio2_std
A,2^9,1.8680674531307073,1.1188483422455828,0.08907520159653468,20.97180157494453,12.560716363162403,Eigenvalues,,,,,
B,2^9,,,,,,Principal Components,4.105448594073014,1.8320094475552466,0.09482417835501984,43.29537745850321,19.320066667978285
A,2^10,1.1470862740644148,0.652647459878539,0.08907520159653504,12.877728632713369,7.326926553977359,Eigenvalues,,,,,
B,2^10,,,,,,Principal Components,2.8424893803842872,1.0404952390961624,0.09482417835502006,29.97641982978283,10.972889585191727
A,2^11,1.2585180093413295,0.2073354746687853,0.08907520159653504,14.128713567685992,2.3276453036604803,Eigenvalues,,,,,
B,2^11,,,,,,Principal Components,2.7469795501177314,0.18913659947981748,0.09482417835502006,28.969189058861,1.9946030934398753
A,2^12,1.1215751866371655,0.16058473079860658,0.08907520159653504,12.59132919751701,1.8027995213075465,Eigenvalues,,,,,
B,2^12,,,,,,Principal Components,2.5643570719447486,0.1736000559299404,0.09482417835502006,27.04328280434807,1.8307572914577213
A,2^13,0.996548159509256,0.0,0.08907520159653504,11.187717138414213,0.0,Eigenvalues,,,,,
B,2^13,,,,,,Principal Components,2.434673883955212,0.0,0.09482417835502006,25.675665491556757,0.0
